,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5084, 3691.9]]","[[0.5086, 2150.1]]",2022-08-03 15:23:20.169,1064663397,ADA,USD,420.6,0.5084,3691.9,0.5086,2150.1
ALGO/USD,"[[0.331, 25648.055]]","[[0.332, 15775.406]]",2022-08-03 15:23:20.230,313220889,ALGO,USD,60.1,0.331,25648.055,0.332,15775.406
ATOM/USD,"[[10.325, 24.5]]","[[10.331, 48.699]]",2022-08-03 15:23:20.353,745896904,ATOM,USD,123.8,10.325,24.5,10.331,48.699
AVAX/USD,"[[23.86, 22.5]]","[[23.88, 44.7]]",2022-08-03 15:23:20.413,268011132,AVAX,USD,60.1,23.86,22.5,23.88,44.7
BCH/USD,"[[138.16, 0.95]]","[[138.52, 0.7]]",2022-08-03 15:23:20.474,715407481,BCH,USD,60.6,138.16,0.95,138.52,0.7
BNB/USD,"[[295.5039, 1.95]]","[[295.6711, 1.95]]",2022-08-03 15:23:20.535,1428955488,BNB,USD,60.9,295.5039,1.95,295.6711,1.95
BTC/USD,"[[23327.92, 0.312167]]","[[23333.53, 0.107141]]",2022-08-03 15:23:20.593,2335710640,BTC,USD,57.6,23327.92,0.312167,23333.53,0.107141
BUSD/USD,"[[1.0, 722909.75]]","[[1.0001, 944089.38]]",2022-08-03 15:23:20.653,10758235,BUSD,USD,60.3,1.0,722909.75,1.0001,944089.38
DOT/USD,"[[8.2, 109.98]]","[[8.21, 102.15]]",2022-08-03 15:23:20.715,132335135,DOT,USD,62.5,8.2,109.98,8.21,102.15
EOS/USD,"[[1.2141, 247.09]]","[[1.216, 246.71]]",2022-08-03 15:23:20.774,295525864,EOS,USD,58.6,1.2141,247.09,1.216,246.71
ETH/USD,"[[1657.23, 1.3]]","[[1657.85, 1.3]]",2022-08-03 15:23:21.007,1998622120,ETH,USD,232.5,1657.23,1.3,1657.85,1.3
LINK/USD,"[[7.4954, 33.5]]","[[7.5004, 33.5]]",2022-08-03 15:23:21.068,1013776623,LINK,USD,61.2,7.4954,33.5,7.5004,33.5
LPT/USD,"[[11.12, 408.99]]","[[11.16, 49.39]]",2022-08-03 15:23:21.129,17210496,LPT,USD,61.1,11.12,408.99,11.16,49.39
LRC/USD,"[[0.4165, 795.0]]","[[0.4172, 729.0]]",2022-08-03 15:23:21.188,91816102,LRC,USD,59.3,0.4165,795.0,0.4172,729.0
LTC/USD,"[[59.06, 4.0]]","[[59.12, 4.0]]",2022-08-03 15:23:21.249,697960703,LTC,USD,60.7,59.06,4.0,59.12,4.0
MANA/USD,"[[0.9931, 346.72]]","[[0.994, 250.0]]",2022-08-03 15:23:21.308,741992730,MANA,USD,59.4,0.9931,346.72,0.994,250.0
MATIC/USD,"[[0.909, 2164.1]]","[[0.9092, 764.0]]",2022-08-03 15:23:21.457,1114828925,MATIC,USD,148.7,0.909,2164.1,0.9092,764.0
NEAR/USD,"[[4.452, 120.0]]","[[4.456, 171.4]]",2022-08-03 15:23:21.516,159205582,NEAR,USD,58.6,4.452,120.0,4.456,171.4
OMG/USD,"[[2.2176, 37.0]]","[[2.2217, 141.17]]",2022-08-03 15:23:21.578,496469906,OMG,USD,62.1,2.2176,37.0,2.2217,141.17
ONE/USD,"[[0.0224, 2284332.6]]","[[0.0225, 24644.9]]",2022-08-03 15:23:21.637,303788232,ONE,USD,59.5,0.0224,2284332.6,0.0225,24644.9
POLY/USD,"[[0.2216, 67.0]]","[[0.2225, 1156.2]]",2022-08-03 15:23:21.697,6438078,POLY,USD,60.1,0.2216,67.0,0.2225,1156.2
SOL/USD,"[[40.247, 18.0]]","[[40.2589, 18.0]]",2022-08-03 15:23:21.768,1319099557,SOL,USD,70.4,40.247,18.0,40.2589,18.0
TRX/USD,"[[0.0687, 16231.0]]","[[0.0688, 251225.9]]",2022-08-03 15:23:21.829,9441442,TRX,USD,61.5,0.0687,16231.0,0.0688,251225.9
UNI/USD,"[[9.1158, 39.67]]","[[9.1362, 54.72]]",2022-08-03 15:23:22.109,452433566,UNI,USD,279.3,9.1158,39.67,9.1362,54.72
USDC/USD,"[[1.0, 393596.65]]","[[1.0001, 433000.48]]",2022-08-03 15:23:22.192,23329533,USDC,USD,83.7,1.0,393596.65,1.0001,433000.48
USDT/USD,"[[1.0001, 504376.76]]","[[1.0002, 471146.98]]",2022-08-03 15:23:22.252,67699929,USDT,USD,59.6,1.0001,504376.76,1.0002,471146.98
UST/USD,[],[],2022-08-03 15:23:22.320,3225972,UST,USD,68.3,,,,
VET/USD,"[[0.0295, 925701.0]]","[[0.0296, 77131.0]]",2022-08-03 15:23:22.446,370341913,VET,USD,126.0,0.0295,925701.0,0.0296,77131.0
XRP/USD,[],[],2022-08-03 15:23:22.540,119696569,XRP,USD,94.3,,,,
XTZ/USD,"[[1.7556, 140.0]]","[[1.7579, 140.0]]",2022-08-03 15:23:22.602,448129663,XTZ,USD,61.7,1.7556,140.0,1.7579,140.0
ADA/USDT,"[[0.50815, 1770.8]]","[[0.50841, 490.0]]",2022-08-03 15:23:22.663,638217814,ADA,USDT,60.3,0.50815,1770.8,0.50841,490.0
ALGO/USDT,"[[0.3312, 946.0]]","[[0.3317, 90.0]]",2022-08-03 15:23:22.725,56898357,ALGO,USDT,62.8,0.3312,946.0,0.3317,90.0
ATOM/USDT,"[[10.318, 24.5]]","[[10.325, 24.5]]",2022-08-03 15:23:22.818,329435469,ATOM,USDT,92.4,10.318,24.5,10.325,24.5
AVAX/USDT,"[[23.85, 13.0]]","[[23.87, 13.69]]",2022-08-03 15:23:22.883,176169974,AVAX,USDT,65.4,23.85,13.0,23.87,13.69
BCH/USDT,"[[138.04, 0.3278]]","[[138.57, 0.32167]]",2022-08-03 15:23:23.162,356819785,BCH,USDT,278.3,138.04,0.3278,138.57,0.32167
BNB/USDT,"[[295.4246, 0.9]]","[[295.6094, 0.9]]",2022-08-03 15:23:23.222,787449712,BNB,USDT,60.2,295.4246,0.9,295.6094,0.9
BTC/USDT,"[[23323.59, 0.10717]]","[[23328.86, 0.105]]",2022-08-03 15:23:23.282,1256912357,BTC,USDT,60.7,23323.59,0.10717,23328.86,0.105
BUSD/USDT,"[[0.9997, 303306.12]]","[[0.9998, 281709.55]]",2022-08-03 15:23:23.341,3781727,BUSD,USDT,59.0,0.9997,303306.12,0.9998,281709.55
DOT/USDT,"[[8.19, 269.97]]","[[8.21, 55.46]]",2022-08-03 15:23:23.399,54413797,DOT,USDT,57.4,8.19,269.97,8.21,55.46
EOS/USDT,"[[1.213, 259.5]]","[[1.217, 246.4]]",2022-08-03 15:23:23.498,18000611,EOS,USDT,98.7,1.213,259.5,1.217,246.4
ETH/USDT,"[[1656.4, 1.50903]]","[[1657.24, 0.9]]",2022-08-03 15:23:23.557,1176159985,ETH,USDT,59.3,1656.4,1.50903,1657.24,0.9
LINK/USDT,"[[7.49, 466.31]]","[[7.51, 461.44]]",2022-08-03 15:23:23.623,26525265,LINK,USDT,66.2,7.49,466.31,7.51,461.44
LPT/USDT,"[[11.12, 8.98]]","[[11.16, 200.61]]",2022-08-03 15:23:23.684,11402466,LPT,USDT,60.5,11.12,8.98,11.16,200.61
LRC/USDT,"[[0.4163, 570.0]]","[[0.4176, 3072.0]]",2022-08-03 15:23:23.768,66961974,LRC,USDT,84.7,0.4163,570.0,0.4176,3072.0
LTC/USDT,"[[59.01, 9.25216]]","[[59.12, 3.38502]]",2022-08-03 15:23:23.828,446668665,LTC,USDT,59.8,59.01,9.25216,59.12,3.38502
MANA/USDT,"[[0.9928, 346.0]]","[[0.9944, 30.0]]",2022-08-03 15:23:23.890,52010461,MANA,USDT,61.6,0.9928,346.0,0.9944,30.0
