,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.3694, 5504.5]]","[[0.3695, 1800.0]]",2022-10-14 18:25:10.274,1139234272,ADA,USD,42.4,0.3694,5504.5,0.3695,1800.0
BNB/USD,"[[269.1251, 2.0]]","[[269.2361, 2.0]]",2022-10-14 18:25:10.324,1508043005,BNB,USD,50.0,269.1251,2.0,269.2361,2.0
BTC/USD,"[[19277.42, 0.00057]]","[[19279.53, 0.072711]]",2022-10-14 18:25:10.373,2650711993,BTC,USD,49.8,19277.42,0.00057,19279.53,0.072711
BUSD/USD,"[[1.0, 244555.02]]","[[1.0001, 721523.43]]",2022-10-14 18:25:10.475,11451962,BUSD,USD,101.5,1.0,244555.02,1.0001,721523.43
ETH/USD,"[[1302.45, 0.05769]]","[[1302.57, 1.65]]",2022-10-14 18:25:10.539,2259241769,ETH,USD,64.0,1302.45,0.05769,1302.57,1.65
MANA/USD,"[[0.6296, 737.19]]","[[0.6302, 430.0]]",2022-10-14 18:25:10.580,790573205,MANA,USD,40.9,0.6296,737.19,0.6302,430.0
MATIC/USD,"[[0.7904, 139.1]]","[[0.7905, 316.2]]",2022-10-14 18:25:10.630,1250053485,MATIC,USD,50.2,0.7904,139.1,0.7905,316.2
POLY/USD,[],[],2022-10-14 18:25:10.682,9056208,POLY,USD,52.3,,,,
SOL/USD,"[[30.2694, 22.5]]","[[30.2854, 15.0]]",2022-10-14 18:25:10.735,1477491581,SOL,USD,53.0,30.2694,22.5,30.2854,15.0
TRX/USD,"[[0.0633, 78411.3]]","[[0.0635, 136750.3]]",2022-10-14 18:25:10.812,17700341,TRX,USD,76.6,0.0633,78411.3,0.0635,136750.3
USDC/USD,"[[0.9998, 373536.72]]","[[0.9999, 301319.5]]",2022-10-14 18:25:10.879,23990672,USDC,USD,66.5,0.9998,373536.72,0.9999,301319.5
USDT/USD,"[[1.0, 676407.87]]","[[1.0001, 576433.11]]",2022-10-14 18:25:11.134,72478242,USDT,USD,255.9,1.0,676407.87,1.0001,576433.11
UST/USD,[],[],2022-10-14 18:25:11.179,3225972,UST,USD,44.5,,,,
XRP/USD,[],[],2022-10-14 18:25:11.228,119696569,XRP,USD,48.6,,,,
ADA/USDT,"[[0.36941, 1134.2]]","[[0.36968, 2002.5]]",2022-10-14 18:25:11.294,676749005,ADA,USDT,66.0,0.36941,1134.2,0.36968,2002.5
BNB/USDT,"[[269.0854, 1.1]]","[[269.2337, 1.1]]",2022-10-14 18:25:11.336,815266306,BNB,USDT,42.3,269.0854,1.1,269.2337,1.1
BTC/USDT,"[[19276.3, 0.036313]]","[[19281.05, 0.32716]]",2022-10-14 18:25:11.396,1424207282,BTC,USDT,60.0,19276.3,0.036313,19281.05,0.32716
BUSD/USDT,"[[1.0, 268965.22]]","[[1.0001, 340463.54]]",2022-10-14 18:25:11.527,3933992,BUSD,USDT,131.5,1.0,268965.22,1.0001,340463.54
ETH/USDT,"[[1301.98, 0.6]]","[[1302.53, 1.09799]]",2022-10-14 18:25:11.573,1312476385,ETH,USDT,45.2,1301.98,0.6,1302.53,1.09799
MANA/USDT,"[[0.6292, 674.0]]","[[0.6305, 129.0]]",2022-10-14 18:25:11.630,58956022,MANA,USDT,56.8,0.6292,674.0,0.6305,129.0
MATIC/USDT,"[[0.79, 482.5]]","[[0.792, 46484.4]]",2022-10-14 18:25:11.672,56876565,MATIC,USDT,42.2,0.79,482.5,0.792,46484.4
POLY/USDT,[],[],2022-10-14 18:25:11.741,6429306,POLY,USDT,69.7,,,,
SOL/USDT,"[[30.2516, 6.4]]","[[30.284, 6.4]]",2022-10-14 18:25:11.782,617165541,SOL,USDT,40.6,30.2516,6.4,30.284,6.4
TRX/USDT,"[[0.06336, 631.4]]","[[0.06341, 10437.6]]",2022-10-14 18:25:11.834,23349393,TRX,USDT,52.1,0.06336,631.4,0.06341,10437.6
USDC/USDT,"[[0.9998, 324844.0]]","[[0.9999, 306056.0]]",2022-10-14 18:25:11.886,1396850,USDC,USDT,51.6,0.9998,324844.0,0.9999,306056.0
UST/USDT,[],[],2022-10-14 18:25:11.939,1960270,UST,USDT,53.3,,,,
XRP/USDT,[],[],2022-10-14 18:25:12.186,100846158,XRP,USDT,247.0,,,,
ADA/BTC,"[[1.914e-05, 12566.0]]","[[1.918e-05, 7434.0]]",2022-10-14 18:25:12.230,129780587,ADA,BTC,43.4,1.914e-05,12566.0,1.918e-05,7434.0
BNB/BTC,"[[0.0139563, 0.95]]","[[0.0139656, 0.53]]",2022-10-14 18:25:12.279,254127827,BNB,BTC,49.0,0.0139563,0.95,0.0139656,0.53
ETH/BTC,"[[0.067525, 3.694]]","[[0.067579, 0.385]]",2022-10-14 18:25:12.331,455419238,ETH,BTC,52.4,0.067525,3.694,0.067579,0.385
MANA/BTC,"[[3.263e-05, 889.0]]","[[3.272e-05, 941.0]]",2022-10-14 18:25:12.380,16825195,MANA,BTC,49.3,3.263e-05,889.0,3.272e-05,941.0
MATIC/BTC,"[[4.097e-05, 1569.6]]","[[4.105e-05, 1577.3]]",2022-10-14 18:25:12.455,19614296,MATIC,BTC,74.9,4.097e-05,1569.6,4.105e-05,1577.3
POLY/BTC,[],[],2022-10-14 18:25:12.560,4620363,POLY,BTC,104.7,,,,
SOL/BTC,"[[0.0015691, 31.44]]","[[0.0015714, 31.63]]",2022-10-14 18:25:12.602,76313805,SOL,BTC,42.3,0.0015691,31.44,0.0015714,31.63
TRX/BTC,"[[3.28e-06, 106680.0]]","[[3.3e-06, 1253414.0]]",2022-10-14 18:25:12.655,3575169,TRX,BTC,52.3,3.28e-06,106680.0,3.3e-06,1253414.0
XRP/BTC,[],[],2022-10-14 18:25:12.705,48000651,XRP,BTC,50.9,,,,
ADA/BUSD,"[[0.369, 1006.8]]","[[0.37, 6535.5]]",2022-10-14 18:25:12.756,10522860,ADA,BUSD,50.1,0.369,1006.8,0.37,6535.5
BNB/BUSD,"[[269.0789, 3.41]]","[[269.348, 3.0]]",2022-10-14 18:25:12.804,221212881,BNB,BUSD,48.1,269.0789,3.41,269.348,3.0
BTC/BUSD,"[[19274.53, 1e-06]]","[[19277.88, 0.051871]]",2022-10-14 18:25:12.866,639005845,BTC,BUSD,62.2,19274.53,1e-06,19277.88,0.051871
ETH/BUSD,"[[1301.94, 0.385]]","[[1302.27, 0.385]]",2022-10-14 18:25:12.908,484636655,ETH,BUSD,41.8,1301.94,0.385,1302.27,0.385
MANA/BUSD,"[[0.6294, 476.0]]","[[0.6308, 475.0]]",2022-10-14 18:25:12.961,30979483,MANA,BUSD,53.0,0.6294,476.0,0.6308,475.0
MATIC/BUSD,"[[0.79039, 2289.7]]","[[0.79054, 316.2]]",2022-10-14 18:25:13.232,368520288,MATIC,BUSD,271.0,0.79039,2289.7,0.79054,316.2
POLY/BUSD,[],[],2022-10-14 18:25:13.276,5671080,POLY,BUSD,44.1,,,,
SOL/BUSD,"[[30.23, 0.87]]","[[30.35, 41.19]]",2022-10-14 18:25:13.350,45935503,SOL,BUSD,74.1,30.23,0.87,30.35,41.19
TRX/BUSD,"[[0.06324, 625.0]]","[[0.06344, 3940.7]]",2022-10-14 18:25:13.393,15513802,TRX,BUSD,42.6,0.06324,625.0,0.06344,3940.7
USDC/BUSD,"[[0.9999, 328284.41]]","[[1.0, 294872.74]]",2022-10-14 18:25:13.443,666853,USDC,BUSD,50.5,0.9999,328284.41,1.0,294872.74
XRP/BUSD,[],[],2022-10-14 18:25:13.493,28045681,XRP,BUSD,49.9,,,,
BTC/USDC,"[[19273.91, 3e-06]]","[[19279.87, 0.023948]]",2022-10-14 18:25:13.622,377941833,BTC,USDC,128.9,19273.91,3e-06,19279.87,0.023948
ETH/USDC,"[[1301.68, 0.345]]","[[1302.09, 0.345]]",2022-10-14 18:25:13.685,140573187,ETH,USDC,63.0,1301.68,0.345,1302.09,0.345
BTC/UST,[],[],2022-10-14 18:25:13.729,2296799,BTC,UST,43.5,,,,
