,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.3599, 3300.0]]","[[0.36, 2450.0]]",2022-10-25 10:47:22.786,1145841402,ADA,USD,61.6,0.3599,3300.0,0.36,2450.0
BNB/USD,"[[273.1208, 1.85]]","[[273.2436, 1.85]]",2022-10-25 10:47:22.841,1517672063,BNB,USD,54.8,273.1208,1.85,273.2436,1.85
BTC/USD,"[[19287.38, 0.051847]]","[[19289.37, 0.031104]]",2022-10-25 10:47:22.893,2685053642,BTC,USD,51.6,19287.38,0.051847,19289.37,0.031104
BUSD/USD,"[[1.0, 688898.87]]","[[1.0001, 281468.95]]",2022-10-25 10:47:22.948,11676677,BUSD,USD,54.6,1.0,688898.87,1.0001,281468.95
ETH/USD,"[[1345.18, 0.2]]","[[1345.35, 1.4]]",2022-10-25 10:47:23.001,2278963394,ETH,USD,53.3,1345.18,0.2,1345.35,1.4
MANA/USD,"[[0.606, 405.0]]","[[0.6066, 159.41]]",2022-10-25 10:47:23.058,793861491,MANA,USD,57.4,0.606,405.0,0.6066,159.41
MATIC/USD,"[[0.8827, 1300.0]]","[[0.8828, 85.6]]",2022-10-25 10:47:23.113,1264794172,MATIC,USD,54.8,0.8827,1300.0,0.8828,85.6
POLY/USD,[],[],2022-10-25 10:47:23.169,9056208,POLY,USD,55.9,,,,
SOL/USD,"[[28.1603, 2.67]]","[[28.1704, 23.5]]",2022-10-25 10:47:23.222,1492714782,SOL,USD,53.5,28.1603,2.67,28.1704,23.5
TRX/USD,"[[0.0613, 8698.4]]","[[0.0614, 134509.7]]",2022-10-25 10:47:23.279,19326493,TRX,USD,56.7,0.0613,8698.4,0.0614,134509.7
USDC/USD,"[[0.9999, 280954.59]]","[[1.0, 449877.14]]",2022-10-25 10:47:23.333,24095706,USDC,USD,53.5,0.9999,280954.59,1.0,449877.14
USDT/USD,"[[1.0, 334435.72]]","[[1.0001, 1036930.56]]",2022-10-25 10:47:23.389,72601352,USDT,USD,56.1,1.0,334435.72,1.0001,1036930.56
UST/USD,[],[],2022-10-25 10:47:23.448,3225972,UST,USD,59.6,,,,
XRP/USD,[],[],2022-10-25 10:47:23.501,119696569,XRP,USD,52.7,,,,
ADA/USDT,"[[0.35999, 1700.0]]","[[0.36, 235.4]]",2022-10-25 10:47:23.557,682313302,ADA,USDT,56.0,0.35999,1700.0,0.36,235.4
BNB/USDT,"[[273.1057, 0.9]]","[[273.2276, 0.6]]",2022-10-25 10:47:23.609,817199710,BNB,USDT,52.4,273.1057,0.9,273.2276,0.6
