,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-09 02:51:32.563,ETH,BTC,0.070842,0.2,0.070872,1.5002
1,BNB/BTC,2023-03-09 02:51:32.637,BNB,BTC,0.013336,3.0,0.013353,0.068
2,ADA/BTC,2023-03-09 02:51:32.701,ADA,BTC,1.465e-05,1000.0,1.467e-05,956.3
3,SOL/BTC,2023-03-09 02:51:32.778,SOL,BTC,0.0008541,14.88,0.0008561,14.89
4,MATIC/BTC,2023-03-09 02:51:32.844,MATIC,BTC,4.901e-05,144.9,4.912e-05,144.9
5,MANA/BTC,2023-03-09 02:51:32.920,MANA,BTC,2.534e-05,2018.0,2.542e-05,826.0
6,TRX/BTC,2023-03-09 02:51:32.986,TRX,BTC,3.01e-06,6346.0,3.02e-06,13037.0
7,ADA/ETH,2023-03-09 02:51:33.049,ADA,ETH,0.0002065,1782.4,0.000207,228.9
8,BTC/USDT,2023-03-09 02:51:33.112,BTC,USDT,21766.55,0.03,21773.18,0.03224
9,ETH/USDT,2023-03-09 02:51:33.177,ETH,USDT,1542.37,1.2,1543.04,1.2
10,BNB/USDT,2023-03-09 02:51:33.243,BNB,USDT,290.5,1.853,290.6,2.67
11,ADA/USDT,2023-03-09 02:51:33.310,ADA,USDT,0.3189,1150.0,0.319,2452.7
12,BUSD/USDT,2023-03-09 02:51:33.376,BUSD,USDT,0.9996,327823.0,1.0001,325277.0
13,SOL/USDT,2023-03-09 02:51:33.440,SOL,USDT,18.61,329.95,18.62,17.5
14,USDC/USDT,2023-03-09 02:51:33.515,USDC,USDT,0.9999,325901.0,1.0002,287876.0
15,MATIC/USDT,2023-03-09 02:51:33.579,MATIC,USDT,1.0678,702.3,1.0697,712.4
16,MANA/USDT,2023-03-09 02:51:33.648,MANA,USDT,0.5523,538.0,0.5531,1553.0
17,TRX/USDT,2023-03-09 02:51:33.714,TRX,USDT,0.06555,11441.2,0.0656,11434.2
18,BTC/BUSD,2023-03-09 02:51:33.856,BTC,BUSD,21764.71,0.05,21770.97,0.04593
19,BNB/BUSD,2023-03-09 02:51:33.925,BNB,BUSD,290.4,2.581,290.6,5.161
20,ETH/BUSD,2023-03-09 02:51:33.996,ETH,BUSD,1542.39,0.29,1542.95,0.58
21,MATIC/BUSD,2023-03-09 02:51:34.062,MATIC,BUSD,1.0677,351.1,1.0684,100.0
22,USDC/BUSD,2023-03-09 02:51:34.142,USDC,BUSD,0.9996,272795.26,0.9999,327646.59
23,MANA/BUSD,2023-03-09 02:51:34.212,MANA,BUSD,0.5518,2504.0,0.5535,822.0
24,ADA/BUSD,2023-03-09 02:51:34.286,ADA,BUSD,0.3187,2916.1,0.3193,20363.3
25,SOL/BUSD,2023-03-09 02:51:34.361,SOL,BUSD,18.59,108.51,18.65,109.05
26,TRX/BUSD,2023-03-09 02:51:34.427,TRX,BUSD,0.06555,2288.2,0.06559,11434.7
27,BTC/USDC,2023-03-09 02:51:34.493,BTC,USDC,21762.76,0.03,21770.94,0.04593
28,ETH/USDC,2023-03-09 02:51:34.560,ETH,USDC,1542.25,0.25,1542.78,0.25
29,SOL/USDC,2023-03-09 02:51:34.633,SOL,USDC,18.61,80.59,18.65,428.93
30,ADA/USDC,2023-03-09 02:51:34.702,ADA,USDC,0.3185,10415.6,0.3192,8458.8
31,BTC/DAI,2023-03-09 02:51:34.774,BTC,DAI,21757.54,0.04957,21784.86,0.04459
32,ETH/DAI,2023-03-09 02:51:34.840,ETH,DAI,1541.89,0.4968,1543.99,0.4492
33,BTC/USD,2023-03-09 02:51:34.997,BTC,USD,21766.27,0.175,21770.54,0.04
34,ETH/USD,2023-03-09 02:51:35.061,ETH,USD,1542.37,1.58,1542.64,1.8862
35,USDT/USD,2023-03-09 02:51:35.128,USDT,USD,0.9998,87795.0,0.9999,996760.0
36,BNB/USD,2023-03-09 02:51:35.193,BNB,USD,290.5,0.318,290.6,9.57
37,ADA/USD,2023-03-09 02:51:35.262,ADA,USD,0.3189,3400.0,0.319,2465.9
38,BUSD/USD,2023-03-09 02:51:35.327,BUSD,USD,0.9997,513743.0,0.9999,1079301.0
39,MATIC/USD,2023-03-09 02:51:35.391,MATIC,USD,1.0681,335.0,1.0685,335.0
40,USDC/USD,2023-03-09 02:51:35.454,USDC,USD,1.0,33271.76,1.0001,499668.44
41,MANA/USD,2023-03-09 02:51:35.524,MANA,USD,0.5523,530.0,0.5531,1749.0
42,DAI/USD,2023-03-09 02:51:35.600,DAI,USD,0.9959,12037.2,1.0002,40363.86
43,SOL/USD,2023-03-09 02:51:35.688,SOL,USD,18.62,37.5,18.63,437.98
44,TRX/USD,2023-03-09 02:51:35.798,TRX,USD,0.06555,10553.2,0.06558,8832.5
