,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-12 20:43:44.490,ETH,BTC,0.072425,0.1,0.072443,1.8801
1,BNB/BTC,2023-03-12 20:43:44.700,BNB,BTC,0.01321,3.9,0.013222,4.975
2,LTC/BTC,2023-03-12 20:43:44.763,LTC,BTC,0.003418,6.253,0.003426,0.067
3,BCH/BTC,2023-03-12 20:43:44.831,BCH,BTC,0.00555,0.045,0.00556,3.964
4,XTZ/BTC,2023-03-12 20:43:45.001,XTZ,BTC,4.784e-05,353.4,4.795e-05,433.3
5,ADA/BTC,2023-03-12 20:43:45.076,ADA,BTC,1.496e-05,2218.5,1.499e-05,1264.8
6,LINK/BTC,2023-03-12 20:43:45.154,LINK,BTC,0.0002988,20.78,0.0002993,64.98
7,VET/BTC,2023-03-12 20:43:45.220,VET,BTC,9.9e-07,40240.0,1e-06,34252.0
8,UNI/BTC,2023-03-12 20:43:45.286,UNI,BTC,0.0002685,86.76,0.0002696,190.52
9,SOL/BTC,2023-03-12 20:43:45.353,SOL,BTC,0.0008791,3.92,0.0008806,18.64
10,LRC/BTC,2023-03-12 20:43:45.456,LRC,BTC,1.365e-05,169.0,1.37e-05,2304.0
11,MATIC/BTC,2023-03-12 20:43:45.592,MATIC,BTC,5.157e-05,100.2,5.168e-05,235.0
12,DOT/BTC,2023-03-12 20:43:45.659,DOT,BTC,0.0002671,75.69,0.0002678,11.69
13,MANA/BTC,2023-03-12 20:43:45.728,MANA,BTC,2.553e-05,741.0,2.561e-05,825.0
14,ATOM/BTC,2023-03-12 20:43:45.804,ATOM,BTC,0.0005321,0.04,0.0005327,77.65
15,AVAX/BTC,2023-03-12 20:43:45.901,AVAX,BTC,0.0007087,0.01,0.0007097,26.88
16,TRX/BTC,2023-03-12 20:43:46.002,TRX,BTC,2.86e-06,8388.0,2.87e-06,7055.0
17,DOGE/BTC,2023-03-12 20:43:46.100,DOGE,BTC,3.21e-06,4.0,3.22e-06,5049.0
18,ADA/ETH,2023-03-12 20:43:46.177,ADA,ETH,0.0002061,992.8,0.0002062,0.5
