,edge_id,b,f_max
0,"(0, 1)",10.01,271
1,"(0, 2)",23.5849,271
2,"(3, 4)",125.3133,316
3,"(2, 4)",9.2593,315
4,"(4, 5)",18.5185,316
5,"(5, 6)",48.0769,316
6,"(7, 8)",32.7869,1279
7,"(8, 9)",31.0559,1278
8,"(3, 10)",14.5349,271
9,"(4, 10)",14.6628,273
10,"(10, 11)",51.0204,271
11,"(1, 11)",16.2338,271
12,"(2, 11)",6.25,271
13,"(6, 11)",29.4118,295
14,"(10, 12)",13.6799,271
15,"(11, 13)",14.1443,271
16,"(12, 14)",4.0917,207
17,"(13, 14)",5.1282,259
18,"(11, 15)",11.9904,295
19,"(14, 16)",22.8833,271
20,"(15, 16)",5.5525,284
21,"(16, 17)",19.802,300
22,"(17, 18)",20.284,311
23,"(18, 19)",8.547,320
24,"(14, 18)",25.3807,271
25,"(19, 20)",11.7786,318
26,"(20, 21)",10.3093,320
27,"(21, 22)",6.2893,320
28,"(22, 23)",20.3252,284
29,"(22, 24)",12.5,334
30,"(24, 26)",6.135,318
31,"(26, 27)",11.6959,313
32,"(27, 28)",10.6045,297
33,"(7, 29)",19.8413,1044
34,"(25, 29)",11.6279,612
35,"(16, 30)",6.398,271
36,"(28, 30)",30.2115,262
37,"(22, 31)",8.673,284
38,"(30, 31)",10.1523,271
39,"(26, 31)",13.245,271
40,"(14, 32)",8.0386,270
41,"(18, 33)",4.0486,205
42,"(34, 35)",98.0392,316
43,"(34, 36)",20.1207,315
44,"(32, 36)",7.0423,277
45,"(33, 35)",37.3134,262
46,"(33, 36)",106.383,286
47,"(36, 38)",9.434,271
48,"(36, 39)",5.9524,252
49,"(29, 37)",18.5185,975
50,"(38, 39)",16.5289,271
51,"(39, 40)",20.5339,273
52,"(39, 41)",5.4645,271
53,"(40, 41)",7.4074,271
54,"(42, 43)",4.075,210
55,"(33, 42)",5.9488,300
56,"(43, 44)",11.0988,298
57,"(44, 45)",7.3746,275
58,"(45, 46)",7.874,273
59,"(45, 47)",5.291,266
60,"(46, 48)",16.0,270
61,"(41, 48)",3.096,160
62,"(44, 48)",5.3763,248
63,"(47, 48)",19.802,252
64,"(48, 49)",13.2979,252
65,"(48, 50)",7.2993,252
66,"(50, 51)",17.0068,255
67,"(51, 52)",6.1162,298
68,"(52, 53)",8.1967,318
69,"(48, 53)",3.4602,178
70,"(53, 54)",14.1443,304
71,"(53, 55)",104.712,279
72,"(54, 55)",66.2252,262
73,"(55, 56)",10.352,252
74,"(49, 56)",7.4627,252
75,"(55, 57)",10.352,252
76,"(50, 57)",13.9082,252
77,"(53, 58)",4.3611,225
78,"(55, 58)",3.9841,201
79,"(54, 58)",4.6339,239
80,"(58, 59)",6.8966,316
81,"(58, 60)",6.6667,316
82,"(59, 60)",74.0741,334
83,"(59, 61)",17.8253,316
84,"(60, 61)",26.5957,316
85,"(62, 63)",50.0,1236
86,"(37, 64)",10.142,534
87,"(63, 64)",33.1126,1215
88,"(48, 65)",10.8814,334
