,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.4484, 1880.7]]","[[0.4486, 1200.0]]",2022-07-05 15:59:46.005,1021557367,ADA,USD,71.3,0.4484,1880.7,0.4486,1200.0
BNB/USD,"[[224.7335, 0.177]]","[[224.8697, 0.177]]",2022-07-05 15:59:46.076,1337557563,BNB,USD,70.4,224.7335,0.177,224.8697,0.177
BTC/USD,"[[19487.82, 0.030766]]","[[19490.79, 0.14]]",2022-07-05 15:59:46.141,2157612613,BTC,USD,65.2,19487.82,0.030766,19490.79,0.14
BUSD/USD,"[[0.9999, 12372.9]]","[[1.0001, 32526.26]]",2022-07-05 15:59:46.204,10406358,BUSD,USD,63.3,0.9999,12372.9,1.0001,32526.26
ETH/USD,"[[1091.29, 1.4]]","[[1091.68, 0.2]]",2022-07-05 15:59:46.271,1876671773,ETH,USD,66.4,1091.29,1.4,1091.68,0.2
MANA/USD,"[[0.847, 300.0]]","[[0.8483, 466.93]]",2022-07-05 15:59:46.338,706568874,MANA,USD,67.5,0.847,300.0,0.8483,466.93
MATIC/USD,"[[0.496, 2562.4]]","[[0.4965, 535.0]]",2022-07-05 15:59:46.404,1034270416,MATIC,USD,66.3,0.496,2562.4,0.4965,535.0
POLY/USD,"[[0.1892, 1246.3]]","[[0.1901, 1884.3]]",2022-07-05 15:59:46.467,5329481,POLY,USD,62.1,0.1892,1246.3,0.1901,1884.3
SOL/USD,"[[33.7995, 25.6]]","[[33.8166, 25.0]]",2022-07-05 15:59:46.529,1207637921,SOL,USD,62.0,33.7995,25.6,33.8166,25.0
TRX/USD,"[[0.0668, 848635.3]]","[[0.067, 50193.8]]",2022-07-05 15:59:46.593,8025403,TRX,USD,63.9,0.0668,848635.3,0.067,50193.8
USDC/USD,"[[0.9999, 58013.02]]","[[1.0, 365563.62]]",2022-07-05 15:59:46.656,22986606,USDC,USD,63.8,0.9999,58013.02,1.0,365563.62
USDT/USD,"[[0.9987, 66132.43]]","[[0.9989, 26128.86]]",2022-07-05 15:59:46.723,60407888,USDT,USD,66.5,0.9987,66132.43,0.9989,26128.86
UST/USD,[],[],2022-07-05 15:59:46.784,3225972,UST,USD,61.5,,,,
XRP/USD,[],[],2022-07-05 15:59:46.851,119696569,XRP,USD,66.3,,,,
ADA/USDT,"[[0.44893, 550.0]]","[[0.44934, 550.0]]",2022-07-05 15:59:46.917,606014832,ADA,USDT,66.1,0.44893,550.0,0.44934,550.0
BNB/USDT,"[[225.0121, 1.4]]","[[225.1281, 1.4]]",2022-07-05 15:59:46.983,764056031,BNB,USDT,66.1,225.0121,1.4,225.1281,1.4
BTC/USDT,"[[19509.75, 0.085]]","[[19515.08, 0.085]]",2022-07-05 15:59:47.049,1165209606,BTC,USDT,66.3,19509.75,0.085,19515.08,0.085
BUSD/USDT,"[[1.001, 130886.98]]","[[1.0015, 261971.44]]",2022-07-05 15:59:47.113,3608557,BUSD,USDT,63.9,1.001,130886.98,1.0015,261971.44
ETH/USDT,"[[1092.57, 0.46117]]","[[1092.9, 0.9]]",2022-07-05 15:59:47.180,1075599709,ETH,USDT,66.4,1092.57,0.46117,1092.9,0.9
MANA/USDT,"[[0.8477, 569.0]]","[[0.8494, 355.0]]",2022-07-05 15:59:47.242,47055991,MANA,USDT,61.9,0.8477,569.0,0.8494,355.0
MATIC/USDT,"[[0.496, 8188.4]]","[[0.498, 7657.6]]",2022-07-05 15:59:47.304,41498435,MATIC,USDT,61.8,0.496,8188.4,0.498,7657.6
POLY/USDT,"[[0.1895, 3122.6]]","[[0.1903, 1755.3]]",2022-07-05 15:59:47.370,3643651,POLY,USDT,66.1,0.1895,3122.6,0.1903,1755.3
SOL/USDT,"[[33.8436, 9.55]]","[[33.8885, 12.0]]",2022-07-05 15:59:47.436,501595620,SOL,USDT,66.1,33.8436,9.55,33.8885,12.0
TRX/USDT,"[[0.06694, 4483.0]]","[[0.06706, 8395.2]]",2022-07-05 15:59:47.501,14725166,TRX,USDT,64.7,0.06694,4483.0,0.06706,8395.2
USDC/USDT,"[[1.001, 199962.0]]","[[1.0016, 376241.0]]",2022-07-05 15:59:47.568,1226141,USDC,USDT,67.7,1.001,199962.0,1.0016,376241.0
