,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.4462, 1275.2]]","[[0.4466, 2200.0]]",2022-07-05 14:47:59.748,1021497926,ADA,USD,71.2,0.4462,1275.2,0.4466,2200.0
BNB/USD,"[[224.0001, 0.178]]","[[224.1054, 0.178]]",2022-07-05 14:47:59.818,1337432487,BNB,USD,69.7,224.0001,0.178,224.1054,0.178
BTC/USD,"[[19434.15, 0.013075]]","[[19436.66, 0.03086]]",2022-07-05 14:47:59.892,2157319213,BTC,USD,74.3,19434.15,0.013075,19436.66,0.03086
BUSD/USD,"[[0.9999, 22758.7]]","[[1.0001, 45446.79]]",2022-07-05 14:47:59.990,10405895,BUSD,USD,97.7,0.9999,22758.7,1.0001,45446.79
ETH/USD,"[[1090.18, 0.83025]]","[[1090.65, 0.58662]]",2022-07-05 14:48:00.074,1876381493,ETH,USD,84.5,1090.18,0.83025,1090.65,0.58662
MANA/USD,"[[0.8435, 41.48]]","[[0.8441, 300.0]]",2022-07-05 14:48:00.147,706521463,MANA,USD,72.8,0.8435,41.48,0.8441,300.0
MATIC/USD,"[[0.4971, 60.8]]","[[0.4972, 3805.6]]",2022-07-05 14:48:00.235,1034149932,MATIC,USD,87.3,0.4971,60.8,0.4972,3805.6
POLY/USD,"[[0.1876, 252.0]]","[[0.1887, 299.0]]",2022-07-05 14:48:00.308,5327684,POLY,USD,73.5,0.1876,252.0,0.1887,299.0
SOL/USD,"[[33.4278, 1.56]]","[[33.4426, 25.62]]",2022-07-05 14:48:00.385,1207415461,SOL,USD,76.5,33.4278,1.56,33.4426,25.62
TRX/USD,"[[0.0665, 79167.7]]","[[0.0667, 41849.8]]",2022-07-05 14:48:00.457,8022685,TRX,USD,71.9,0.0665,79167.7,0.0667,41849.8
USDC/USD,"[[0.9999, 72732.95]]","[[1.0, 382381.27]]",2022-07-05 14:48:00.527,22986154,USDC,USD,70.2,0.9999,72732.95,1.0,382381.27
USDT/USD,"[[0.9987, 56665.94]]","[[0.9989, 55662.53]]",2022-07-05 14:48:00.603,60335349,USDT,USD,76.6,0.9987,56665.94,0.9989,55662.53
UST/USD,[],[],2022-07-05 14:48:00.672,3225972,UST,USD,68.7,,,,
XRP/USD,[],[],2022-07-05 14:48:00.740,119696569,XRP,USD,67.9,,,,
ADA/USDT,"[[0.44695, 67.1]]","[[0.44723, 550.0]]",2022-07-05 14:48:00.839,605965943,ADA,USDT,98.8,0.44695,67.1,0.44723,550.0
BNB/USDT,"[[224.188, 1.4]]","[[224.3425, 1.4]]",2022-07-05 14:48:00.909,763997710,BNB,USDT,70.6,224.188,1.4,224.3425,1.4
BTC/USDT,"[[19452.49, 0.004356]]","[[19460.81, 0.003945]]",2022-07-05 14:48:00.980,1165050278,BTC,USDT,70.6,19452.49,0.004356,19460.81,0.003945
BUSD/USDT,"[[1.001, 132565.02]]","[[1.0015, 264276.11]]",2022-07-05 14:48:01.063,3608436,BUSD,USDT,83.1,1.001,132565.02,1.0015,264276.11
ETH/USDT,"[[1091.42, 0.43228]]","[[1091.92, 0.9]]",2022-07-05 14:48:01.155,1075354655,ETH,USDT,91.8,1091.42,0.43228,1091.92,0.9
MANA/USDT,"[[0.8438, 37.0]]","[[0.8454, 265.0]]",2022-07-05 14:48:01.226,47048453,MANA,USDT,71.0,0.8438,37.0,0.8454,265.0
MATIC/USDT,"[[0.497, 1585.6]]","[[0.498, 414.5]]",2022-07-05 14:48:01.328,41489487,MATIC,USDT,102.0,0.497,1585.6,0.498,414.5
